model,feature_method,mean_adr,source
random_forest,anova,0.9838181513934526,original repository result
random_forest,mutual_info,0.9754846659364732,original repository result
logistic_regression,anova,0.9720565595716198,original repository result
logistic_regression,pca,0.963211938663746,original repository result
gradient_boosting,mutual_info,0.9539999391505416,original repository result
random_forest,rfe,0.95234711573567,original repository result
gradient_boosting,anova,0.9447953936959962,original repository result
xgb,mutual_info,0.9445825727151028,original repository result
logistic_regression,mutual_info,0.942365218449556,original repository result
logistic_regression,rfe,0.9385569550930996,original repository result
knn,mutual_info,0.9311969849093344,original repository result
gradient_boosting,rfe,0.9240505963246928,original repository result
svc,rfe,0.9176388888888888,original repository result
gradient_boosting,pca,0.899029730031236,original repository result
svc,anova,0.8970328789907104,original repository result
knn,anova,0.8796412315930388,original repository result
knn,rfe,0.8778382469271024,original repository result
random_forest,pca,0.8495580808080808,original repository result
xgb,anova,0.8258333333333333,original repository result
svc,mutual_info,0.7964149527402539,original repository result
knn,pca,0.7464432223844875,original repository result
xgb,pca,0.6989834337349397,original repository result
xgb,rfe,0.6889823232323232,original repository result
svc,pca,0.5434027777777778,original repository result
extra_trees,anova,0.9490201715954728,added model
gaussian_nb,anova,0.9481772544724352,added model
