trial,model,model_group,auth_tdr,auth_fdr,rogue_rejection_rate,adr,adr_std,selected_features_median,folds
trial_1,extra_trees,added,0.016666666666666666,0.03787878787878788,0.9500000000000001,0.48333333333333334,0.03186144245246149,50.0,12
trial_1,lda,added,0.24583333333333335,0.16818181818181818,0.8033333333333333,0.5245833333333333,0.10506401367593458,50.0,12
trial_1,logistic_regression,existing,0.32083333333333336,0.291974691974692,0.6708333333333334,0.49583333333333335,0.12618228757226463,50.0,12
trial_1,random_forest,existing,0.020833333333333332,0.022727272727272724,0.9591666666666666,0.49,0.04337992832887327,50.0,12
trial_2,extra_trees,added,0.06851851851851852,0.0335239651416122,0.9685408299866131,0.5185296742525658,0.10037050795380191,50.0,18
trial_2,lda,added,0.24166666666666664,0.09768184076749607,0.8641231593038822,0.5528949129852745,0.15114862460256284,50.0,18
trial_2,logistic_regression,existing,0.36944444444444446,0.2049103218285365,0.7295850066934404,0.5495147255689425,0.16304625274528642,50.0,18
trial_2,random_forest,existing,0.05,0.00980392156862745,0.9732262382864794,0.5116131191432396,0.06494720919763952,50.0,18
trial_3,extra_trees,added,0.04652777777777778,0.009743589743589744,0.9886363636363636,0.5175820707070707,0.05132928725747373,50.0,24
trial_3,lda,added,0.20555555555555557,0.11083271055253814,0.903030303030303,0.5542929292929293,0.1233237239968065,50.0,24
trial_3,logistic_regression,existing,0.26180555555555557,0.17167064895513173,0.8416666666666667,0.5517361111111111,0.1415145730110834,50.0,24
trial_3,random_forest,existing,0.020833333333333332,0.013012820512820511,0.9901515151515152,0.5054924242424242,0.035600278452945514,50.0,24
